name,color,rarity,picked,ata,games_played,gpwr
Water Wings,U,C,43840,12.43,22527,50.6
"Ashiok, Wicked Manipulator",B,M,4275,1.2,23570,56.3
Ashiok's Reaper,B,U,16421,7.02,45259,51.8
Back for Seconds,B,U,21721,5.17,96775,53.9
Barrow Naughty,B,C,54266,6.76,250674,55.2
Beseech the Mirror,B,M,2400,3.94,3563,50.2
Candy Grapple,B,C,72536,2.82,414556,56.7
Conceited Witch,B,C,52477,6.46,249494,55.3
Dream Spoilers,B,U,16202,8.06,34558,50.9
Ego Drain,B,U,17121,10.63,15106,50.8
The End,B,R,8154,2.01,42526,55.2
Eriette's Whisper,B,C,44667,10.94,48844,53.4
Faerie Dreamthief,B,U,25322,4.73,133438,56.7
Faerie Fencing,B,U,22363,3.72,112652,55.3
Feed the Cauldron,B,C,53823,5.13,272725,55.3
Fell Horseman,B,C,44134,8.66,130437,53.8
Gumdrop Poisoner,B,R,9517,1.55,53793,57.6
High Fae Negotiator,B,U,26754,3.09,144785,56.1
Hopeless Nightmare,B,C,66716,6.29,304419,56.9
Lich-Knights' Conquest,B,R,5521,4.79,14953,50.8
"Lord Skitter, Sewer King",B,R,8936,1.34,52400,58.1
Lord Skitter's Blessing,B,R,6912,1.91,34366,53.6
Lord Skitter's Butcher,B,U,24352,3.68,129441,56.7
Mintstrosity,B,C,67411,6.46,344414,56.5
Not Dead After All,B,C,45322,10.02,97731,54.7
Rankle's Prank,B,R,6857,2.52,32003,54.7
Rat Out,B,C,64014,7.93,250898,56.9
Rowan's Grim Search,B,C,49649,9.71,114338,53.8
Scream Puff,B,C,48346,8.11,174034,54.5
Shatter the Oath,B,C,47788,6.35,211604,55
Specter of Mortality,B,R,8038,1.74,41095,54.7
Spiteful Hexmage,B,R,8297,2.64,41794,56.2
Stingblade Assassin,B,C,40396,9.27,104257,53.9
Sugar Rush,B,C,43068,11.41,33724,53.9
Sweettooth Witch,B,C,64097,6.69,305614,56.6
Taken by Nightmares,B,U,23626,2.93,128442,55.5
Tangled Colony,B,R,8338,1.87,44524,57
Twisted Sewer-Witch,B,U,23208,3.7,113002,56.5
Virtue of Persistence,B,M,4448,1.2,26672,58.7
Voracious Vermin,B,C,49680,6.1,239152,56
Warehouse Tabby,B,C,39188,9.72,83205,53.6
Wicked Visitor,B,C,46575,9.74,113576,53.5
The Witch's Vanity,B,U,26491,3.03,146126,56.9
Belligerent of the Ball,R,U,26749,5.14,136037,56.7
Bellowing Bruiser,R,C,49199,9.45,124337,54.9
Bespoke Battlegarb,R,C,50311,11.92,41837,54.9
Boundary Lands Ranger,R,U,24352,7.19,94249,55.7
Charming Scoundrel,R,R,8348,2.36,45385,56.1
Cut In,R,C,74835,4.44,415974,57
Edgewall Pack,R,C,65769,6.61,324936,57
Embereth Veteran,R,U,28952,5.14,154212,57.3
Flick a Coin,R,C,76610,7.6,319966,57.1
Food Fight,R,R,7268,8.77,2576,50.3
Frantic Firebolt,R,C,53882,6.33,236138,54.3
Gnawing Crescendo,R,C,50944,10.2,119808,56.7
"Goddric, Cloaked Reveler",R,R,9095,1.77,51032,56.9
Grabby Giant,R,C,59050,6.99,275613,56.1
Grand Ball Guest,R,C,71010,7.53,346162,57.1
Harried Spearguard,R,C,60967,8.14,258541,57.3
Hearth Elemental,R,U,28757,4.59,147586,56.4
"Imodane, the Pyrohammer",R,R,7320,2.93,32746,54.7
Kindled Heroism,R,C,45219,12.4,15172,52.2
Korvold and the Noble Thief,R,U,15527,10.12,16518,50.5
Merry Bards,R,C,55783,9.44,159175,55.9
Minecart Daredevil,R,C,58996,8.18,243983,56.8
Monstrous Rage,R,U,28661,5.05,148342,57.4
Raging Battle Mouse,R,R,7968,2.62,41965,56.1
Ratcatcher Trainee,R,C,67883,5.18,381751,57.2
Realm-Scorcher Hellkite,R,M,4560,1.31,26425,58
Redcap Gutter-Dweller,R,R,9705,1.6,57032,59.2
Redcap Thief,R,C,61856,7.93,262711,56.6
Rotisserie Elemental,R,R,7813,4.35,34975,56
Skewer Slinger,R,C,48955,10.67,85527,54.1
Song of Totentanz,R,R,9706,1.7,55192,56.6
Stonesplitter Bolt,R,U,23073,4.07,119390,54.9
Tattered Ratter,R,U,22368,7.06,89572,56.3
Torch the Tower,R,C,81986,3.44,473915,57.6
Twisted Fealty,R,U,27878,6.68,108958,58
Two-Headed Hunter,R,U,24714,4.45,128392,56.5
Unruly Catapult,R,C,51289,9.77,118137,52.8
Virtue of Courage,R,M,3313,2.89,12843,53.9
Witch's Mark,R,C,63435,8.98,227368,56.6
Witchstalker Frenzy,R,U,31951,2.94,184876,57.2
Agatha's Champion,G,U,28623,2.97,159534,55.6
Beanstalk Wurm,G,C,40268,8.41,141379,53
Bestial Bloodline,G,C,40484,11.83,36417,51.6
Blossoming Tortoise,G,M,3126,3.05,10828,54.6
Bramble Familiar,G,R,7417,2.29,37960,54.5
Brave the Wilds,G,C,73103,8.32,303467,55.2
Commune with Nature,G,C,43356,12.62,10400,52.9
Curse of the Werefox,G,C,57262,6.07,290537,54.8
Elvish Archivist,G,R,8573,1.98,45899,54.8
Feral Encounter,G,R,8913,2.8,45261,55.9
Ferocious Werefox,G,C,53990,6.55,276368,55.1
Graceful Takedown,G,U,25306,4.88,130542,54.8
Gruff Triplets,G,R,9225,1.41,53560,59.2
Hamlet Glutton,G,C,68389,4.71,373382,55.5
Hollow Scavenger,G,C,64243,6.31,331763,55.8
Howling Galefang,G,U,21032,5.05,104631,54.8
The Huntsman's Redemption,G,R,9259,1.84,49972,56.1
Leaping Ambush,G,C,51583,11.76,54265,55.1
Night of the Sweets' Revenge,G,U,18407,8.53,35262,52.3
Redtooth Genealogist,G,C,54337,7.86,238553,55
Redtooth Vanguard,G,U,24560,5.19,123526,54.9
Return from the Wilds,G,C,53307,8.25,192652,53.7
Rootrider Faun,G,C,60959,5.71,325409,55.1
Royal Treatment,G,U,27668,5.22,139947,56.1
Sentinel of Lost Lore,G,R,7489,2.44,37569,54.5
Skybeast Tracker,G,C,43896,11.3,44764,51.9
Spider Food,G,C,40680,12.23,15948,51.1
Stormkeld Vanguard,G,U,22373,3.81,119224,55.3
Tanglespan Lookout,G,U,23215,4.86,107541,55
Territorial Witchstalker,G,C,50384,10.2,116877,53.5
Thunderous Debut,G,R,5313,7.56,4565,51.9
Titanic Growth,G,C,48604,11.37,66006,54.6
Toadstool Admirer,G,C,38223,12.1,25677,51.1
Tough Cookie,G,U,29888,3.03,167192,57.1
Troublemaker Ouphe,G,C,55422,8.66,212712,54.1
Up the Beanstalk,G,U,26376,5.6,102824,55.3
Verdant Outrider,G,C,44188,10.87,70952,53.2
Virtue of Strength,G,M,2375,5.51,2859,50.6
Welcome to Sweettooth,G,U,31498,3.36,173631,57.2
Agatha of the Vile Cauldron,RG,M,2751,5.2,4041,51.1
The Apprentice's Folly,UR,R,7844,6.73,13368,51.2
"Ash, Party Crasher",WR,U,25983,5.5,107926,57.8
Eriette of the Charmed Apple,WB,M,3285,2.12,12892,53
Faunsbane Troll,BG,R,10273,1.82,56783,57.4
The Goose Mother,UG,R,9508,1.67,51560,55.7
"Greta, Sweettooth Scourge",BG,U,26001,4.16,127331,56.1
Hylda of the Icy Crown,WU,M,3226,2.17,10649,49.8
"Johann, Apprentice Sorcerer",UR,U,26518,7.21,83695,54
Likeness Looter,UB,R,6447,4.39,19935,51.9
"Neva, Stalked by Nightmares",WB,U,21152,5.76,80862,53.1
"Obyra, Dreaming Duelist",UB,U,18765,6.62,64196,54.5
"Rowan, Scion of War",BR,M,2986,4.19,8393,55
"Ruby, Daring Tracker",RG,U,23309,6.76,82938,55.9
Sharae of Numbing Depths,WU,U,20129,6.35,61594,52.8
"Syr Armont, the Redeemer",WG,U,21098,5.42,87079,53.5
"Talion, the Kindly Lord",UB,M,4181,1.69,21139,55.5
"Totentanz, Swarm Piper",BR,U,22430,5.25,98303,57
"Troyan, Gutsy Explorer",UG,U,20328,7.56,53041,51.5
"Will, Scion of Peace",WU,M,2541,5.93,2155,46.6
"Yenna, Redtooth Regent",WG,R,7868,2.87,33195,52.8
Beluna Grandsquall,URG,M,3368,4.54,7823,51.9
Callous Sell-Sword,BR,U,24861,5.51,112376,56.5
Cruel Somnophage,UB,R,6509,2.92,29390,52.5
Decadent Dragon,BR,R,8995,1.45,50461,56.4
Devouring Sugarmaw,WB,R,8311,1.93,42936,54.9
Elusive Otter,UG,R,7741,3,33805,53.3
Frolicking Familiar,UR,U,27448,5.48,114065,55.3
Gingerbread Hunter,BG,U,31386,2.83,175631,57
Heartflame Duelist,WR,R,9491,2.15,51316,57.1
Imodane's Recruiter,WR,U,35244,2.72,207029,58.7
"Kellan, the Fae-Blooded",WR,M,4248,1.92,22043,56.3
Mosswood Dreadknight,BG,R,9249,1.66,50812,56.7
Picnic Ruiner,RG,U,29634,4.79,150595,57.1
Pollen-Shield Hare,WG,R,6556,3.75,25700,54.7
Questing Druid,RG,R,7909,2.21,39489,54.3
Scalding Viper,UR,R,8922,2.86,45565,55.9
Shrouded Shepherd,WB,U,26614,4.26,128654,55.8
Spellscorn Coven,UB,U,25190,4.97,117361,55.7
Tempest Hart,UG,U,19388,8.12,49484,52.5
Threadbind Clique,WU,U,24992,4.38,118827,54.3
Twining Twins,WU,R,8480,1.95,43461,55.5
Woodland Acolyte,WG,U,25938,4.7,124832,55.8
Agatha's Soul Cauldron,,M,3454,1.6,17314,53.9
Candy Trail,,C,51714,9.52,112294,54.2
Collector's Vault,,U,21640,7.97,64091,52.4
Eriette's Tempting Apple,,U,23278,7.54,72257,56.8
Gingerbrute,,C,60092,7.72,258952,56
Hylda's Crown of Winter,,R,8672,1.45,49518,54.2
The Irencrag,,R,6231,4.68,16296,50.6
Prophetic Prism,,C,69521,7.49,264950,54.2
Scarecrow Guide,,C,56269,10.12,120292,53
Soul-Guide Lantern,,U,18333,11.98,1310,49.7
"Syr Ginger, the Meal Ender",,R,6890,2.39,36870,54.5
Three Bowls of Porridge,,U,17655,8.84,33791,52.9
Crystal Grotto,,C,62902,8.05,300537,54.8
Edgewall Inn,,U,32167,4.34,188460,55.8
Evolving Wilds,,C,65713,6.82,355176,55.3
Restless Bivouac,,R,8574,3.49,38332,56.4
Restless Cottage,,R,9151,2.49,44497,56.5
Restless Fortress,,R,7769,3.23,33397,54.9
Restless Spire,,R,8024,4.57,27642,53.4
Restless Vinestalk,,R,8641,3.3,36046,54.9
Blind Obedience,W,R,2614,4.72,9273,51.3
Dawn of Hope,W,R,2567,5.56,7614,50.8
Grasp of Fate,W,U,19642,4.47,96110,53.7
Greater Auramancy,W,M,974,7.11,714,41.9
Griffin Aerie,W,U,22144,10.09,23798,53.1
Intangible Virtue,W,U,17472,10.7,7377,47.9
Karmic Justice,W,R,2383,9.49,300,
Knightly Valor,W,U,18407,7.44,57781,51.7
Land Tax,W,M,1226,4.33,4025,53.4
Leyline of Sanctity,W,R,2812,9.83,136,
Phyrexian Unlife,W,R,2391,9.34,542,46.5
Rest in Peace,W,R,3334,10.12,15,
Smothering Tithe,W,M,913,7.12,720,44.9
As Foretold,U,R,2418,8.98,1229,46.9
Compulsion,U,U,19741,12.02,1726,43.1
Copy Enchantment,U,R,2681,9.22,1170,44.5
Curiosity,U,U,18444,7.54,51777,51.5
Forced Fruition,U,R,3320,8.38,4056,47.2
Fraying Sanity,U,R,2893,9.81,421,
Hatching Plans,U,U,35606,5.43,140433,54.7
Intruder Alarm,U,R,3031,10.09,125,
Kindred Discovery,U,M,1195,7.45,1026,48.8
Leyline of Anticipation,U,R,2675,9.37,976,43.6
Omniscience,U,M,1315,8.75,40,
Rhystic Study,U,M,915,5.05,1760,46.5
Spreading Seas,U,U,23173,10.17,30291,53
Bitterblossom,B,M,2143,1.33,12542,56.8
Dark Tutelage,B,U,20867,10.91,11552,51.6
Grave Pact,B,M,1286,3.35,5073,51.4
Leyline of the Void,B,R,2922,9.71,93,
Necropotence,B,M,1501,6.33,2335,52.9
Oppression,B,R,2428,9.34,527,39.7
Oversold Cemetery,B,R,2696,4.94,7853,50.1
Polluted Bonds,B,R,2191,9.1,540,44.1
Sanguine Bond,B,R,2599,9.07,1171,47.9
Stab Wound,B,U,21842,4.11,109196,53.7
Vampiric Rites,B,U,20394,9.43,32275,53.6
Waste Not,B,R,2418,8.93,529,41.6
Aggravated Assault,R,R,2526,9.24,760,47.9
Blood Moon,R,M,1504,9.11,24,
Dragon Mantle,R,U,24784,8.73,68674,56
Fiery Emancipation,R,R,2610,7.44,4621,53.1
Goblin Bombardment,R,R,5923,4.05,29000,59
Impact Tremors,R,U,15635,9.41,25705,51.7
Leyline of Lightning,R,R,2712,9.49,647,46.4
Mana Flare,R,R,3166,10.12,148,
Raid Bombardment,R,U,18250,9.63,26436,52.3
Repercussion,R,M,1224,8.14,767,49.4
Shared Animosity,R,R,2700,8.08,3690,53.6
Sneak Attack,R,M,1342,8.59,141,
Defense of the Heart,G,M,1476,3.21,6342,54
Doubling Season,G,M,1047,5.89,1234,46.1
Garruk's Uprising,G,U,17683,8.78,33267,52.1
Ground Seal,G,U,21154,11.95,2152,50.2
Hardened Scales,G,R,2473,8.98,629,39
Leyline of Abundance,G,R,2601,9.24,551,45
Nature's Will,G,R,2405,9.19,456,
Parallel Lives,G,M,1148,6.46,1512,47
Primal Vigor,G,R,2395,8.48,1290,44.5
Prismatic Omen,G,R,2779,8.88,1478,43.3
Season of Growth,G,U,19141,9.36,31652,52.7
Unnatural Growth,G,R,2738,5.11,9884,52.7
Utopia Sprawl,G,U,32154,4.41,166888,55.6
